,Team,Year,season
0,CJ Entus,15,Spring
1,Incredible Miracle,15,Spring
2,Jin Air Green Wings,15,Spring
3,KT Rolster,15,Spring
4,NaJin e-mFire,15,Spring
5,ROX Tigers,15,Spring
6,Samsung Galaxy,15,Spring
7,SK Telecom T1,15,Spring
8,CJ Entus,15,Summer
9,Incredible Miracle,15,Summer
10,Jin Air Green Wings,15,Summer
11,KT Rolster,15,Summer
12,NaJin e-mFire,15,Summer
13,Rebels Anarchy,15,Summer
14,ROX Tigers,15,Summer
15,Samsung Galaxy,15,Summer
16,SBENU Korea,15,Summer
17,SK Telecom T1,15,Summer
18,Afreeca Freecs,16,Spring
19,CJ Entus,16,Spring
20,e-mFire,16,Spring
21,Jin Air Green Wings,16,Spring
22,Kongdoo Monster,16,Spring
23,KT Rolster,16,Spring
24,Longzhu Gaming,16,Spring
25,ROX Tigers,16,Spring
26,Samsung Galaxy,16,Spring
27,SBENU Korea,16,Spring
28,SK Telecom T1,16,Spring
29,Afreeca Freecs,16,Summer
30,CJ Entus,16,Summer
31,ESC Ever,16,Summer
32,Jin Air Green Wings,16,Summer
33,KT Rolster,16,Summer
34,Longzhu Gaming,16,Summer
35,MVP,16,Summer
36,ROX Tigers,16,Summer
37,Samsung Galaxy,16,Summer
38,SK Telecom T1,16,Summer
39,Afreeca Freecs,17,Spring
40,bbq Olivers,17,Spring
41,Jin Air Green Wings,17,Spring
42,Kongdoo Monster,17,Spring
43,KT Rolster,17,Spring
44,Longzhu Gaming,17,Spring
45,MVP,17,Spring
46,ROX Tigers,17,Spring
47,Samsung Galaxy,17,Spring
48,SK Telecom T1,17,Spring
49,Afreeca Freecs,17,Summer
50,bbq Olivers,17,Summer
51,Ever8 Winners,17,Summer
52,Jin Air Green Wings,17,Summer
53,KT Rolster,17,Summer
54,Longzhu Gaming,17,Summer
55,MVP,17,Summer
56,ROX Tigers,17,Summer
57,Samsung Galaxy,17,Summer
58,SK Telecom T1,17,Summer
